PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
666;PAKISTAN;Extracomunitaria;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;NewSmartCard;-;-;-;PAKISTAN
667;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Faenza;Ravenna;Emilia-Romagna;ITALIA
668;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Torrebelvicino;Vicenza;Veneto;ITALIA
669;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Moena;Trento;Trentino Alto Adige;ITALIA
670;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Cassola;Vicenza;Veneto;ITALIA
671;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;MASSA FERMANA;Fermo;Marche;ITALIA
672;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;NewSmartCard;Borgo Valsugana;Trento;Trentino Alto Adige;ITALIA
673;ALBANIA;Extracomunitaria;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Brenzone;Verona;Veneto;ITALIA
674;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Villa Santa Maria;Chieti;Abruzzo;ITALIA
675;STATI UNITI D'AMERICA;Extracomunitaria;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;OpenMove;-;-;-;STATI UNITI D'AMERICA (USA)
676;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;NewSmartCard;Genova;Genova;Liguria;ITALIA
677;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Brugnera;Pordenone;Friuli Venezia Giulia;ITALIA
678;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Treviso;Treviso;Veneto;ITALIA
679;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filologia e critica letteraria;Corso di Laurea Magistrale;OpenMove;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
680;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OldSmartCard;ALTAVALLE ;Trento;Trentino Alto Adige;ITALIA
681;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Faedo;Trento;Trentino Alto Adige;ITALIA
682;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OldSmartCard;Villorba;Treviso;Veneto;ITALIA
683;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea Magistrale;OldSmartCard;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
